id,ua_browser,ua_mobile,client,ordertotal,totalitems,partialip,productid,productname
,Firefox,FALSE,targetcom,148.5,9,72.168.128,13130247,Cosco 2 Step All Steel Step Stool
,Other,FALSE,targetcom,59.99,1,166.170.220,17419402,Farberware 15 Piece Cookware Set - Champagne
,Firefox,FALSE,targetcom,126.93,3,67.81.202,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,36.32,3,73.202.186,11633444,Foaming Hand Soap Refill - 50 oz - up &amp; up&amp;trade;
,Safari,FALSE,targetcom,9.34,1,108.77.90,50064061,License Star Wars Beach Towel
,Chrome,FALSE,targetcom,53.98,2,70.209.97,17187088,Printed Arrow Sheet Set - Xhilaration&amp;trade;
,Other,FALSE,targetcom,95.99,1,45.31.136,14559865,GraniteWare 20 Quart Hard Anodized Aluminum Pressure Canner  - Black/Silver
,Chrome,FALSE,targetcom,26.99,1,216.51.242,50364778,5 Shelf Bookcase - Sauder&amp;#174;
,Chrome,FALSE,targetcom,19.96,4,99.113.155,14757134,Sterilite&amp;#174; 13.2 Qt./3.3 Gal. Wastebasket - Gray Tint
,Chrome,FALSE,targetcom,35.86,4,68.87.42,14775731,Whiskas&amp;#174; Temptations&amp;#174; SUPER Mega Bag Chicken 12 oz.
,Other,FALSE,targetcom,428.08,2,152.216.11,15835601,Bedford Tall TV Media Stand 53&amp;quot; - Simpli Home
,Chrome,FALSE,targetcom,192.63,7,74.103.168,17482021,Threshold&amp;trade; Distressed Tribal Geometric Bath Towel - Hot Coffee
,Chrome,FALSE,targetcom,49.99,1,184.91.97,15142093,Evenflo Tribute Convertible Car Seat
,Firefox,FALSE,targetcom,30.77,2,71.168.178,14714006,Promotional Gift Card $5
,Firefox,FALSE,targetcom,105.96,4,184.8.200,50662345,Regular Outfit Overalls - Our Generation&amp;trade;
,Safari,FALSE,targetcom,69.98,1,192.145.247,50216600,Curtainworks Marquee Lined Curtain Panel
,Chrome,FALSE,targetcom,21.43,3,76.109.180,50291461,Mudhut&amp;trade; Marika 6in Melamine Cereal Bowl - Gold
,Chrome,FALSE,targetcom,47.47,3,107.4.162,14971968,Wooden Shelf with S Hooks
,Other,FALSE,targetcom,40.99,1,99.184.22,16580062,Oggi Stainless Steel Breadbox with Tempered Glass Roll Top Lid
,Chrome,FALSE,targetcom,148.96,2,74.108.55,50912827,"Gerber&amp;#174; Good Start Gentle Powder Infant Formula, Stage 1, 32.0 oz (Pack of 4)"
,Firefox,FALSE,targetcom,150.95,3,75.189.145,14196386,Threshold&amp;trade; Fillable Glass Lamp Base - Clear Large (Includes CFL Bulb)
,Chrome,FALSE,targetcom,76.97,3,174.103.180,50678493,Rizzy Home Preening Peacocks Throw Pillow (20 x 20)
,Firefox,FALSE,targetcom,39.99,1,174.53.173,15772268,Kan Jam Ultimate Disc Game
,Safari,FALSE,targetcom,99.99,1,99.180.36,21398005,Cuisinart Coffee 12 Cup Programmable Coffee Maker - DCC-3000
,Firefox,FALSE,targetcom,87.89,9,71.91.186,13514447,Quilted Northern Ultra Soft &amp; Strong&amp;#174; Toilet Paper 12 Double Rolls
,Chrome,FALSE,targetcom,29.99,2,75.84.183,51265829,Teenage Mutant Ninja Turtles: Out of the Shadows (Blu-ray + Digital) Target Exclusive
,Firefox,FALSE,targetcom,68.69,3,98.201.118,14714006,Promotional Gift Card $5
,IE,FALSE,targetcom,184.08,6,12.166.63,50386272,Neutrogena&amp;#174; T/Gel&amp;#174; Therapeutic Shampoo Original Formula
,IE,FALSE,targetcom,128.96,2,67.244.5,14714009,Promotional Gift Card $25
,Other,FALSE,targetcom,36.98,2,75.117.15,51047541,Nashville Season 4 Volume 2 (Target Exclusive)
,Safari,FALSE,targetcom,131.05,5,75.114.29,16835298,"Enfamil Premium Newborn Formula Nursettes, 6 - 2 Fl oz Bottles (4 Pack)"
,Chrome,FALSE,targetcom,365.97,3,189.5.64,50350141,Hamilton X Slat Desk - Threshold&amp;trade;
,Chrome,FALSE,targetcom,139.99,1,72.215.217,14390486,"Hoover&amp;#174; WindTunnel&amp;#174; 3 Pro Pet Bagless Upright Vacuum, UH70930"
,Chrome,FALSE,targetcom,65.35,4,199.96.182,13660400,Solid Towels - Fieldcrest&amp;trade;
,Firefox,FALSE,targetcom,154.67,3,152.208.55,50281645,Tufted Rectangular Ottoman - Threshold&amp;trade;
,Chrome,FALSE,targetcom,24.99,1,73.174.170,16619727,Folly Beach Stripe Shower Curtain
,Safari,FALSE,targetcom,29.78,2,71.87.174,17393204,"Skip Hop Bandana Buddies Stroller Toy, Fox"
,Chrome,FALSE,targetcom,450,2,107.135.244,21488057,Texas Roadhouse $50 (Email Delivery)
,Other,FALSE,targetcom,34.45,9,50.134.56,11031115,Square Cotton Makeup Pad 160 ct - up &amp; up&amp;trade;
,Safari,FALSE,targetcom,56.92,4,96.35.34,17387805,Gray Ash Dip Bowl
,Firefox,FALSE,targetcom,49.99,1,70.32.221,13929544,VTech Safe&amp;Sound&amp;#174; VM301&amp;nbsp;Accessory Video Camera (For VM321 only)
,Safari,FALSE,targetcom,60.76,4,83.117.143,15075460,Swiffer WetJet Original Pad Refill 24 Count
,IE,FALSE,targetcom,516.52,6,70.196.72,14546214,Carson 2 Shelf Bookcase - Threshold&amp;trade;
,Chrome,FALSE,targetcom,124.99,1,69.47.171,50195797,Apple&amp;#174; - Apple TV&amp;#174; 32GB - Black (MGY52LL/A)
,Firefox,FALSE,targetcom,2982.45,11,62.47.190,15029408,Mid Century Modern 4 Drawer Chest - Foremost
,Chrome,FALSE,targetcom,12.99,1,180.190.90,14935727,Vintage Wood Wall Mounted Bottle Opener
,Other,FALSE,targetcom,3.97,1,96.239.137,14358640,Eye Allergy Relief Drops - 0.5 oz - up &amp; up&amp;trade;
,Chrome,FALSE,targetcom,41.86,2,75.22.110,21402146,Bunch O Balloons - Standard Assorted Colors (Single Pack)
,Firefox,FALSE,targetcom,65.98,1,24.145.216,18788349,Neatfreak! 12 Compartment Utility Storage Unit
,Firefox,FALSE,targetcom,48.47,3,173.79.160,15610394,Ibuprofen Pain Reliever and Fever Reducer Sofgels - up &amp; up&amp;trade;
,Chrome,FALSE,targetcom,24.97,2,63.66.112,21402146,Bunch O Balloons - Standard Assorted Colors (Single Pack)
,Other,FALSE,targetcom,132.97,4,98.102.202,50890849,Pampers Baby Dry Diapers Super Pack
,Chrome,FALSE,targetcom,9.99,1,162.228.8,18834077,Paw Patrol 16.9oz Stainless Steel Bottle
,Chrome,FALSE,targetcom,109.99,1,174.102.157,14502469,Samsung 3D BluRay Wi-Fi - Black (BD-J5900/ZA)
,Chrome,FALSE,targetcom,135.07,5,129.123.230,10600094,Fox Run Triple-Tier Cooling Rack
,Chrome,FALSE,targetcom,639.92,3,99.123.214,15029405,Felton Tufted Loveseat Pewter - Threshold&amp;trade;
,Chrome,FALSE,targetcom,36.32,3,73.202.186,13966865,Medium Flap-Tie Closure Trash Bags 8 gal 60 ct - up &amp; up&amp;trade;
,Firefox,FALSE,targetcom,138.33,2,73.242.78,14714009,Promotional Gift Card $25
,Firefox,FALSE,targetcom,349.42,9,71.201.46,23982766,Baby Skip Hop Long-sleeve Side-Snap
,Other,FALSE,targetcom,219.98,2,68.233.192,21398009,Cuisinart 12 Cup Programmable Coffeemaker with Thermal Carafe
,Safari,FALSE,targetcom,107.99,1,107.184.112,16851746,Open Shelf TV Stand 45&amp;quot; - Threshold&amp;trade;
,Firefox,FALSE,targetcom,59.53,4,80.112.184,16872188,e.l.f. Flawless Face Powder
,Safari,FALSE,targetcom,133.5,10,67.82.240,51063882,Room Essentials&amp;trade; Texture Bath Towels
,Chrome,FALSE,targetcom,34.98,2,208.102.239,14714006,Promotional Gift Card $5
,Firefox,FALSE,targetcom,50.06,3,75.143.136,11321014,Caps for Sale (Hardcover)
,Firefox,FALSE,targetcom,81.31,3,24.161.20,49131785,Kikkerland Rhino Step Stool - Green
,Chrome,FALSE,targetcom,99.96,1,131.215.19,10939597,Similac&amp;#174; Advance Stage 1 Powder - 1.45lb
,Chrome,FALSE,targetcom,137.95,4,73.215.254,50890849,Pampers Baby Dry Diapers Super Pack
,Chrome,FALSE,targetcom,51.07,3,50.149.71,50193551,L.A. Baby Changing Pad
,Chrome,FALSE,targetcom,39.99,1,104.246.77,15082246,Outdoor Fabric Pouf - Threshold&amp;trade;
,Chrome,FALSE,targetcom,25.32,7,108.185.6,11223411,Q-tips Blue Purse Pack Cotton Swabs 30 ct
,Other,FALSE,targetcom,34.99,1,72.54.30,14431772,Target Home Oil Rubbed Towel Tower - Bronze - Threshold&amp;trade;
,Firefox,FALSE,targetcom,49.42,2,74.190.108,12964705,Cottonelle Ultra Comfort Care Double Roll Toilet Paper
,Other,FALSE,targetcom,14.99,1,72.174.48,50758292,Outdoor Solid Color Seat Cushion - Threshold&amp;trade;
,Chrome,FALSE,targetcom,14.99,1,76.175.34,10878194,Conair Travel Folding Hair Dryer
,Chrome,FALSE,targetcom,29.95,4,173.61.48,49120296,SheaMoisture Manuka Honey &amp; Mafura Oil Intensive Hydration Liquid Hand Soap - 13 oz
,Chrome,FALSE,targetcom,79.96,4,67.6.132,50075534,Zebra Head Wall D&amp;#233;cor - Pillowfort&amp;trade;
,Safari,FALSE,targetcom,128.97,3,70.126.20,11260047,Pampers Sensitive Baby Wipes Refill Pack - 448 Count
,Chrome,FALSE,targetcom,55.96,1,71.205.97,50752288,RumbleRoller Extra Firm Full Size Extra Firm Roller - Black
,Chrome,FALSE,targetcom,107.57,11,23.255.183,15930438,Dawn&amp;#174; Escapes&amp;trade;  New Zealand Springs&amp;trade; Dishwashing Liquid 21.6 Oz
,Safari,FALSE,targetcom,133.95,5,24.8.146,15293997,Threshold&amp;trade; Belmont Serving Bowl - Gray (Large)
,Firefox,FALSE,targetcom,25.64,1,162.202.25,10181190,Corelle Livingware 16 Piece Dinnerware Set - Urban Black
,Other,FALSE,targetcom,28.97,2,66.60.145,16343710,Igloo Leftover Lunch Bag Taos Chambray
,Safari,FALSE,targetcom,160.57,3,73.247.101,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,33.95,2,42.112.159,14714006,Promotional Gift Card $5
,Safari,FALSE,targetcom,100,2,72.192.48,16721736,Boost Mobile $50 Prepaid Card (email delivery)
,Chrome,FALSE,targetcom,754.2,10,162.196.24,14174648,Performance Solid Bath Towels - Threshold&amp;trade;
,Chrome,FALSE,targetcom,98.99,1,100.42.168,16503063,Keekaroo Peanut Changer Changing Pad
,Safari,FALSE,targetcom,87.47,3,100.40.150,17353752,Room Essentials&amp;trade; Oversized Quilted Jersey Pillow (24x24&amp;quot;)
,Safari,FALSE,targetcom,89.99,6,68.99.109,14106409,Warm Down Blend Comforter - Room Essentials&amp;trade;
,Chrome,FALSE,targetcom,22.58,2,70.122.243,14714006,Promotional Gift Card $5
,Firefox,FALSE,targetcom,25.76,4,71.95.18,49104939,Revlon&amp;#174; PhotoReady Kajal&amp;trade; Matte Eye Pencil in 305 Matte Espresso - .043 oz
,Mobile Safari,TRUE,targetcom,56.9,6,209.59.114,50149555,Multi-Color Cocktail Beverage Napkin - 20 count - Spritz&amp;trade;
,Chrome,FALSE,targetcom,130.44,3,184.1.230,14905143,Sensitive Baby Wipes Refill Pack 736 ct - up &amp; up&amp;trade;
,Other,FALSE,targetcom,79.98,1,73.254.8,17298460,Wood &amp; Glass Fillable Uplight (Includes CFL Bulb) - Threshold&amp;trade;
,Chrome,FALSE,targetcom,164.52,4,72.226.29,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,300,1,67.219.116,47984832,Disney Gift Card - $100
,IE,FALSE,targetcom,62.53,7,156.145.144,16481384,Revlon Luxurious Colorsilk Buttercream Haircolor
,Chrome,FALSE,targetcom,119.99,1,73.208.234,14325894,ARRIS SURFboard 8X Cable Modem with WiFi N600 Router - Black (SBG6580)
,Firefox,FALSE,targetcom,100,1,23.122.56,47984832,Disney Gift Card - $100
,Chrome,FALSE,targetcom,114.98,2,98.14.38,16504446,Xbox One Stand Alone Kinect Sensor
,Other,FALSE,targetcom,137.63,4,24.227.39,51067489,Domestic Dog Throw 46&amp;quot;x60&amp;quot; - Multicolor - The Secret Life of Pets&amp;#174;
,Chrome,FALSE,targetcom,30.8,1,71.12.5,16898790,Rizzy Home Solid Decorative Pillow
,Chrome,FALSE,targetcom,95.98,3,64.20.18,11203217,Boots No7 Protect &amp; Perfect Eye Cream - 0.5 Fl Oz
,Other,FALSE,targetcom,68.16,4,96.236.219,10784139,Neat Solutions Knit Terry Graphic Print Bibs - Boy (5 Pack)
,IE,FALSE,targetcom,93.97,2,162.135.0,14583527,Fisher-Price SpaceSaver High Chair - Rainforest Friends
,Chrome,FALSE,targetcom,108.33,12,98.114.56,14714006,Promotional Gift Card $5
,Chrome,FALSE,targetcom,28.86,4,162.204.26,14774700,Yuban Dark Roast Premium Coffee 29 oz
,Other,FALSE,targetcom,44.36,4,73.8.54,39601952,Hydro Swirl Spinning Sprinkler
,Chrome,FALSE,targetcom,144.94,6,96.234.204,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,34.35,3,66.8.247,13409497,Odor Neutralizing Gel Beads Fresh Clean Scent 12 oz - up &amp; up&amp;trade;
,Chrome,FALSE,targetcom,22.58,2,70.122.243,11031104,"Schiff Glucosamine 1500mg Plus MSM 1500mg and Hyaluronic Acid, Joint Supplement, 150 Count"
,Chrome,FALSE,targetcom,10,1,65.131.231,15421892,Roblox Game eCard - $10 (email delivery)
,Chrome,FALSE,targetcom,38.48,2,96.242.81,12963582,Skirt and Pant Hangers - Clear (12pk)
,Safari,FALSE,targetcom,116.62,4,50.108.79,10830408,Threshold&amp;trade; Microplush Blanket
,Chrome,FALSE,targetcom,25.32,7,108.185.6,13971953,Head &amp; Shoulders Clinical Shampoo - 13.5floz
,Chrome,FALSE,targetcom,22.99,1,162.239.116,14691698,"Mr. Bar B-Q - NCAA - Grill Cover, Oklahoma State Cowboys"
,Firefox,FALSE,targetcom,914.97,3,12.17.170,14723125,OXO Tot Bottle Brush with Stand
,Chrome,FALSE,targetcom,90.54,6,209.240.180,17081183,"EXPO&amp;#174; Vis-&amp;#224;-Vis Wet-Erase Marker, Fine Point, Assorted, 8/Set"
,Safari,FALSE,targetcom,167.98,2,104.58.20,50547338,Moroccan Shag Rug - Mekenes
,Mobile Safari,TRUE,targetcom,217.92,8,208.103.14,15130055,Wicker Large Milk Crate - Dark Global Brown - Threshold&amp;trade;
,Chrome,FALSE,targetcom,126.46,3,99.70.246,14893053,Baby Wipes Refill Pack - Unscented - 800 ct - up &amp; up&amp;trade;
,Safari,FALSE,targetcom,149.99,1,67.160.161,50038631,GoPro HERO+
,Safari,FALSE,targetcom,354.98,1,50.27.100,14245167,Murray Platform Bed - Fashion Bed Group
,Chrome,FALSE,targetcom,81.81,5,119.252.114,11695277,"Dove Pink Beauty Bar 4 oz, 8 Bar"
,Safari,FALSE,targetcom,30,3,24.129.224,15067896,You are Wonderful Gift Card
,Chrome,FALSE,targetcom,46.2,5,67.169.94,11267665,Kandoo Flushable Wipes Sensitive 50 ct
,Safari,FALSE,targetcom,153.98,1,66.8.243,51236001,Parsons End Table with Shelf - Threshold&amp;trade;
,Safari,FALSE,targetcom,125.7,5,73.229.3,16574179,Diapers Giant Pack (Select Size) - up &amp; up&amp;trade;
,Safari,FALSE,targetcom,119.99,1,192.228.205,15029373,FHI Heat Technique G3 Original Professional Tourmaline Ceramic Hair Styling 1&amp;quot; Flat Iron - Black
,Chrome,FALSE,targetcom,40.98,2,66.189.171,16512823,Hada Labo Tokyo Skin Plumping Gel Cream and Perfecting Serum - 1.76 oz
,Safari,FALSE,targetcom,55.86,5,71.93.209,49117553,Camille Rose Naturals&amp;trade; Sweet Ginger Cleansing Rinse - 8 oz
,Chrome,FALSE,targetcom,38.06,6,69.120.231,13586147,e.l.f. Powder Brush
,Safari,FALSE,targetcom,47.7,10,107.184.71,48638959,"all Free Clear Liquid Detergent, 141oz"
,Other,FALSE,targetcom,42.96,5,72.94.157,12683787,Coppertone&amp;#174; Water BABIES&amp;#174; Pure &amp; Simple Sunscreen Lotion with SPF 50 - 8 oz
,Chrome,FALSE,targetcom,159.98,2,173.17.243,16740755,Tula Quilted Coverlet Set
,Chrome,FALSE,targetcom,159.98,2,173.17.243,14332095,homthreads&amp;trade; Barizanz Quilt Set
,Chrome,FALSE,targetcom,139.39,1,108.198.134,16620726,Layla Buffet - TMS
,Chrome,FALSE,targetcom,59.34,6,72.89.33,13521110,Room Essentials&amp;trade; Microfiber Sheet Set
,Firefox,FALSE,targetcom,9.99,1,173.26.27,18847959,Intex 18-Pocket Fashion Mats Pool Lounge
,Safari,FALSE,targetcom,19.95,1,98.218.226,15120854,ICU Disposable Cleaning Tissues
,Firefox,FALSE,targetcom,55.47,11,67.161.51,16678878,Dial Aloe Bar Soap -  12 Count
,Safari,FALSE,targetcom,25.98,1,97.117.18,14327236,Curtain Panel Braxton Thermaback Light Blocking - Eclipse&amp;trade;
,Chrome,FALSE,targetcom,159.98,2,67.180.88,17299858,Tripod Floor Lamp - Antique Brass (Includes CFL Bulb) - Threshold&amp;trade;
,Chrome,FALSE,targetcom,231.16,12,108.225.104,12082570,Aveeno Baby Wash and Shampoo - 18 oz.
,Firefox,FALSE,targetcom,65.54,8,75.128.21,50079598,Paper Straws Gold Foil (20 Count) Spritz&amp;trade;
,Chrome,FALSE,targetcom,39.99,1,75.168.77,17273319,AllerEase Maximum Mattress Protector
,Chrome,FALSE,targetcom,35,1,167.58.38,50072152,Google Chromecast
,Firefox,FALSE,targetcom,69.99,1,75.49.152,15710680,homthreads&amp;trade; Luxemburg Quilt Set
,Safari,FALSE,targetcom,147.14,6,71.29.212,17301624,Storage Unit - Threshold&amp;trade;
,Chrome,FALSE,targetcom,39,1,99.183.132,16378089,32&amp;quot; Metal Mesh Folding Table - Room Essentials&amp;trade;
,Safari,FALSE,targetcom,84.99,1,104.56.14,11085770,Chicco KeyFit&amp;#174; 30 and KeyFit Infant Car Seat Base - Anthracite
,Firefox,FALSE,targetcom,99.97,3,108.226.218,17221211,Hair Play Pearl Doll - Our Generation&amp;trade;
,Chrome,FALSE,targetcom,293.4,2,173.22.114,14240353,Tivering Gazebo Mosquito Net - Threshold&amp;trade;
,Safari,FALSE,targetcom,515.18,2,173.73.15,50865083,Safavieh Marnie Rug
,Chrome,FALSE,targetcom,6.59,1,73.109.56,50913670,Disney Infinity 3.0 Edition: Star Wars&amp;trade; Kylo Ren Light FX Figure
,Chrome,FALSE,targetcom,129.97,2,74.72.18,15122175,Pampers Baby Dry Diapers Giant Pack (Select Size)
,Chrome,FALSE,targetcom,70,2,72.23.193,17366937,Sprint Prepaid $35 (email) - $35
,Safari,FALSE,targetcom,150.48,6,205.162.49,50253251,6-Cube Organizer Shelf 13&amp;quot; - Threshold&amp;trade;
,Safari,FALSE,targetcom,38.97,5,76.0.72,13925533,Biore Blemish Treating Astringent - 8 oz
,Safari,FALSE,targetcom,150.81,8,71.199.3,14714009,Promotional Gift Card $25
,Safari,FALSE,targetcom,188.72,15,72.229.5,49109600,SheaMoisture African Black Soap Clarifying Mud Mask - 6 oz
,Firefox,FALSE,targetcom,158.35,10,68.47.23,50319069,Micromink Blanket Solid - Room Essentials&amp;trade;
,Chrome,FALSE,targetcom,49.97,2,23.242.170,49139680,Ball&amp;#174; Set of 12 32 Ounce Wide Mouth Jars
,Safari,FALSE,targetcom,29.99,1,50.183.133,50281283,Canister Freestanding Toilet Tissue Holder with Reserve Brushed Nickel 88 Main
,Chrome,FALSE,targetcom,131.96,3,73.44.30,50693291,"Enfagrow Toddler Next Step Natural Milk, Non-GMO Powder - 24oz"
,Firefox,FALSE,targetcom,71.99,1,108.226.117,14500158,Windham 2 Shelf Bookcase - Threshold&amp;trade;
,Chrome,FALSE,targetcom,39.99,1,121.54.58,16360976,Eddie Bauer Places &amp; Spaces Duffle Diaper Bag - Wild Aster
,Other,FALSE,targetcom,68.16,4,96.236.219,17217022,20&amp;quot; Horse Trail Riding - Our Generation&amp;trade;
,Other,FALSE,targetcom,166.39,1,108.200.106,50026244,Dyna-Glo Heavy Duty Charcoal Grill
,Chrome,FALSE,targetcom,166.45,6,50.128.245,14714009,Promotional Gift Card $25
,Other,FALSE,targetcom,86.14,2,74.139.245,12241728,Coleman&amp;#174;Sun Ridge&amp;trade; Sleeping Bag
,Mobile Safari,TRUE,targetcom,217.92,8,208.103.14,50246849,A&amp;B Home Ceramic Jar With Lid - Yellow/White (7.5&amp;quot;)
,Firefox,FALSE,targetcom,12.59,1,100.13.18,15651307,Learning Resources Pretend &amp; Play Cooking Set
,Firefox,FALSE,targetcom,31.82,1,71.231.163,11136188,Razor Sweet Pea Scooter &amp;#45; Pink
,Firefox,FALSE,targetcom,42.65,6,166.82.11,13890463,Pantene Pro-V Nature Fusion Smoothing Conditioner with Avocado Oil 12 fl oz
,Safari,FALSE,targetcom,136.49,1,107.15.135,14963281,Porter Mid Century Modern Horizontal Bookcase
,Safari,FALSE,targetcom,150.81,8,71.199.3,11008383,Burt&amp;rsquo;s Bees Baby Bee 100% Natural Diaper Rash Ointment - 3 oz
,Chrome,FALSE,targetcom,132.96,2,165.230.224,14714009,Promotional Gift Card $25
,Safari,FALSE,targetcom,35.99,1,24.12.247,50294319,Two-Tone Traffic Comforter Set - Gray - Pillowfort&amp;trade;
,Firefox,FALSE,targetcom,100,1,73.224.162,15014122,$100 iTunes Code (email delivery)
,Safari,FALSE,targetcom,42.99,1,70.196.36,13477771,Shark&amp;#174; Pet Perfect&amp;trade; II 18 volt Cordless Hand Vac
,Chrome,FALSE,targetcom,19.43,1,24.19.40,14436972,Waterproof Mattress Pad - Room Essentials&amp;trade;
,Safari,FALSE,targetcom,67.98,2,71.177.84,46759224,Vintage Washed Sheet Set - Threshold&amp;trade;
,Safari,FALSE,targetcom,25.87,3,108.18.101,14730559,Sunglasses with Gradient Lens - Clear/Gold
,Chrome,FALSE,targetcom,581.46,4,24.32.40,50832765,Windham 2 Door Cabinet with Drawers - Threshold&amp;trade;
,Chrome,FALSE,targetcom,125,2,74.72.18,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,124.99,1,73.219.127,18780601,Sunny Health and Fitness (SF-B1203) Indoor Cycling Bike
,Chrome,FALSE,targetcom,59.95,1,186.151.61,12279599,A+D Original Diaper Rash Ointment - 16 oz.
,Other,FALSE,targetcom,56.96,3,107.202.141,15639644,Threshold&amp;trade; Moscow Mule Copper Mug
,Chrome,FALSE,targetcom,41.76,4,24.220.27,11206881,Absorbent Underpads - 18 ct - up &amp; up&amp;trade;
,Chrome,FALSE,targetcom,115.48,2,42.60.220,13659383,Disney&amp;#174; Mickey Mouse 4 Piece Bed Set - Blue (Toddler)
,Firefox,FALSE,targetcom,25.98,1,67.181.129,14327236,Curtain Panel Braxton Thermaback Light Blocking - Eclipse&amp;trade;
,Chrome,FALSE,targetcom,128.96,2,70.122.243,14714009,Promotional Gift Card $25
,Chrome,FALSE,targetcom,7.99,1,74.177.164,51065617,Room Essentials&amp;trade; Bright Bath Rugs
,Chrome,FALSE,targetcom,26.02,4,107.204.152,17089076,Sterilite&amp;#174; School Supply Box - Aqua Top
,Firefox,FALSE,targetcom,33.87,13,86.184.67,14730776,Gallon Storage Bags - 50 Count - up &amp; up&amp;trade;
,Other,FALSE,targetcom,284.99,1,24.217.186,14542820,Cigar Arm Club Chair Leather - Threshold&amp;trade;
,Chrome,FALSE,targetcom,53.17,3,216.106.201,13660400,Solid Towels - Fieldcrest&amp;trade;
,Chrome,FALSE,targetcom,125,2,74.72.18,14631802,Luvs Baby Diapers Value Pack (Select Size)
,Chrome,FALSE,targetcom,35.35,14,96.252.123,16878569,"Cardinal&amp;#174; Ring Binder Divider Pockets With Index Tabs, Letter, Assorted Colors, 5/Pack"
,Chrome,FALSE,targetcom,37.58,3,71.90.81,13981211,The Pregnancy Countdown Book (Reprint) (Paperback)
,Chrome,FALSE,targetcom,349.99,1,190.191.252,50522463,PlayStation 4 500GB Console with Call of Duty: Black Ops 3 Bundle
,Chrome,FALSE,targetcom,120.98,2,67.168.18,21488308,Child Craft Parisian Changing Table
,Firefox,FALSE,targetcom,126.45,6,70.101.31,15145159,"Babyganics Face, Hand &amp; Baby Wipes, Fragrance Free - 400 Count"
,Safari,FALSE,targetcom,11.99,1,96.226.66,16677066,Aladdin Beverage Dispenser Set of 2  - Blue Violet (1 Gal.)
,IE,FALSE,targetcom,29.99,1,72.224.53,17131024,Fisher-Price Animal Party Bouncer
,Safari,FALSE,targetcom,314.93,7,73.170.89,15847572,Woven Wall Organizer Decorative Basket with Chalkboard - Smith &amp; Hawken&amp;trade;
,Safari,FALSE,targetcom,39.99,1,97.107.41,51148653,Portable Charger - myCharge USB-Powered Multi-Device
,Chrome,FALSE,targetcom,22.97,3,108.232.94,50405348,Jameson flip flop sandals
,Chrome,FALSE,targetcom,499.99,1,24.197.187,16590781,Banzai Sidewinder Falls Water Park
,Firefox,FALSE,targetcom,33.18,2,216.15.51,15756286,"Skip Hop Zoo Little Kids &amp; Toddler Umbrella, Monkey"
,Chrome,FALSE,targetcom,75,2,71.222.44,17372651,Facebook $25 (Email Delivery)
,Other,FALSE,targetcom,34.99,1,192.249.3,13652342,aden&amp;#174; by aden + anais&amp;#174; swaddleplus&amp;#174; 4-pack-safari friends
,Chrome,FALSE,targetcom,431.69,4,68.45.68,17105825,Berton End Table - Brown/Gray
,Safari,FALSE,targetcom,499.99,1,71.237.69,14505360,VIZIO D-series 55&amp;quot; Class Full Array LED Smart TV -Black (D55-D2)
,Chrome,FALSE,targetcom,104.95,5,67.172.236,17215239,Deluxe Outfit Birthday Surprise - Our Generation&amp;trade;
,Chrome,FALSE,targetcom,20.99,1,73.241.27,14106409,Warm Down Blend Comforter - Room Essentials&amp;trade;
,Chrome,FALSE,targetcom,22.99,2,73.208.132,51295507,Only at Target: Harry Potter and the Cursed Child - Parts I &amp; II (Exclusive Poster) (Special Rehearsal Edition) (Hardcover) by J.K. Rowling
,Safari,FALSE,targetcom,38.99,1,24.187.16,21536055,Set of 2 Ledge shelves with 2 Photo Frames - White
,Safari,FALSE,targetcom,377.98,2,70.187.158,50533190,nuLOOM orsay sisal Rug
,Firefox,FALSE,targetcom,914.97,3,12.17.170,50344790,iRobot&amp;#174; Roomba&amp;#174; 980 Vacuum Cleaning Robot
,Chrome,FALSE,targetcom,183.99,1,70.95.96,18836785,Savannah Changing Table
,Safari,FALSE,targetcom,129.97,3,47.33.26,15122174,Pampers Swaddlers Diapers Giant Pack (Select Size)
,Chrome,FALSE,targetcom,165,1,73.19.207,15405232,Tegu 42-piece Set in Natural
,Chrome,FALSE,targetcom,4.99,1,24.23.196,13532635,method foaming hand wash refill sweet water 28oz
,Chrome,FALSE,targetcom,53.15,2,108.214.167,13660400,Solid Towels - Fieldcrest&amp;trade;
,Safari,FALSE,targetcom,42.48,2,24.17.65,,
,Safari,FALSE,targetcom,129.99,1,71.14.39,50791576,Fitbit Alta Activity and Sleep Tracker
,Chrome,FALSE,targetcom,192.63,7,74.103.168,13332189,Threshold&amp;trade; Hook Rail with Double Prong Robe Hooks - White/Satin Nickel
,Safari,FALSE,targetcom,40.96,5,100.2.85,13976234,CONAIR TV Mirror with Rubber Handle 1pk.
,Chrome,FALSE,targetcom,69.98,1,73.134.242,18808891,Herringbone Black - Threshold&amp;trade;
,Chrome,FALSE,targetcom,25,1,173.21.129,17213812,Puppy with Bullseye GiftCard
,Other,FALSE,targetcom,100,1,96.246.149,15014122,$100 iTunes Code (email delivery)
,Chrome,FALSE,targetcom,134.99,1,68.32.211,14929098,Huffy Ladies 26&amp;quot; Nassau Cruiser Bike - Blue
